T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606610960,67.1807,64.5679,61.5523,60.9968,39.3051,18.5549,5.56776,5.56776,5.56776,5.56776,5.56776,5.56776,5.56295,5.25234,2.61109,0.0828774,0.0828774,0.0828774,0.0828774,0.0828774,0.0828774,0.907952,0.91622,0.585066,1,0.961108,0.276194,0.0388666,0.0781822,0.0828057
1606610961,68.4032,65.8208,62.4353,62.1987,40.2394,18.6192,5.65685,5.65685,5.65685,5.65685,5.65685,5.65685,5.64972,5.40392,2.62293,0.0826986,0.0826986,0.0826986,0.0826986,0.0826986,0.0826986,0.912754,0.909294,0.588267,1,0.962247,0.272198,0.0383452,0.079001,0.0825944
1606610962,69.6046,67.052,63.5987,63.0802,41.1589,18.6783,5.74456,5.74456,5.74456,5.74456,5.74456,5.74456,5.73676,5.5502,2.63748,0.0825314,0.0825314,0.0825314,0.0825314,0.0825314,0.0825314,0.913715,0.906266,0.591325,1,0.963327,0.26835,0.0378923,0.0797391,0.0824194
1606610963,70.7857,68.2623,64.789,63.9072,42.0507,18.7328,5.83095,5.83095,5.83095,5.83095,5.83095,5.83095,5.82504,5.68242,2.65561,0.0823748,0.0823748,0.0823748,0.0823748,0.0823748,0.0823748,0.915284,0.902827,0.594056,1,0.964352,0.264641,0.0375163,0.0802764,0.0822913
1606610964,72.445,69.8646,66.3906,64.8662,43.7222,19.1949,5.91608,5.91608,5.91608,5.91608,5.91608,5.91608,5.91473,5.79611,2.69224,0.081663,0.081663,0.081663,0.081663,0.081663,0.081663,0.895385,0.916427,0.603523,1,0.964381,0.264958,0.0371625,0.0800069,0.0816443
1606610965,74.1713,71.5223,67.7702,66.1357,45.4794,19.7112,6,6,6,6,6,6,5.99944,5.88874,2.75664,0.0808938,0.0808938,0.0808938,0.0808938,0.0808938,0.0808938,0.891661,0.913697,0.613167,1,0.964286,0.265752,0.0371659,0.0793937,0.0808862
1606610966,75.859,73.1545,68.8282,67.6864,47.1656,20.1671,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.07776,5.96628,2.8245,0.0801851,0.0801851,0.0801851,0.0801851,0.0801851,0.0801851,0.892266,0.907318,0.621753,1,0.964348,0.265851,0.0372335,0.0786496,0.0801192
1606610967,77.5101,74.761,69.719,69.3558,48.7922,20.5723,6.16441,6.16441,6.16441,6.16441,6.16441,6.16441,6.15748,6.03002,2.88358,0.0795304,0.0795304,0.0795304,0.0795304,0.0795304,0.0795304,0.894797,0.899483,0.629495,1,0.964532,0.265414,0.0372026,0.0777965,0.079441
1606610968,79.1271,76.3423,71.1901,70.3882,50.3726,20.9349,6.245,6.245,6.245,6.245,6.245,6.245,6.24086,6.08688,2.93136,0.0789237,0.0789237,0.0789237,0.0789237,0.0789237,0.0789237,0.899693,0.889559,0.636603,1,0.964806,0.264574,0.0370462,0.0769254,0.0788714
1606610969,80.7117,77.8993,72.7202,71.3057,51.9171,21.2614,6.32456,6.32456,6.32456,6.32456,6.32456,6.32456,6.32373,6.14995,2.96855,0.0783598,0.0783598,0.0783598,0.0783598,0.0783598,0.0783598,0.883462,0.900986,0.643241,1,0.965155,0.263424,0.0367797,0.0761965,0.0783496
1606610970,82.2661,79.4327,73.9728,72.4506,53.4333,21.5569,6.40312,6.40312,6.40312,6.40312,6.40312,6.40312,6.40301,6.22962,2.99405,0.0778343,0.0778343,0.0778343,0.0778343,0.0778343,0.0778343,0.880686,0.899189,0.649518,1,0.965558,0.262039,0.0363948,0.0757253,0.0778329
1606610971,83.7919,80.943,74.9401,73.8399,54.9161,21.8251,6.48074,6.48074,6.48074,6.48074,6.48074,6.48074,6.4787,6.32781,3.00644,0.0773433,0.0773433,0.0773433,0.0773433,0.0773433,0.0773433,0.88123,0.89436,0.655386,1,0.966,0.260469,0.0358798,0.0755182,0.0773189
1606610972,85.2906,82.431,75.7441,75.3485,56.3687,22.0697,6.55744,6.55744,6.55744,6.55744,6.55744,6.55744,6.55305,6.4367,3.01035,0.0768835,0.0768835,0.0768835,0.0768835,0.0768835,0.0768835,0.883432,0.888071,0.660902,1,0.966472,0.258759,0.0352952,0.0754678,0.076832
1606610973,86.7638,83.8974,77.0424,76.325,57.783,22.2935,6.63325,6.63325,6.63325,6.63325,6.63325,6.63325,6.62916,6.54192,3.01525,0.0764518,0.0764518,0.0764518,0.0764518,0.0764518,0.0764518,0.887955,0.879687,0.66598,1,0.966964,0.256944,0.0347524,0.0753992,0.0764047
1606610974,88.2125,85.3428,78.4503,77.1667,59.1501,22.4988,6.7082,6.7082,6.7082,6.7082,6.7082,6.7082,6.7072,6.63341,3.02841,0.0760459,0.0760459,0.0760459,0.0760459,0.0760459,0.0760459,0.874782,0.889333,0.670541,1,0.967468,0.255053,0.0343308,0.0751981,0.0760346
1606610975,89.6379,86.7677,79.6194,78.2331,60.4676,22.688,6.78233,6.78233,6.78233,6.78233,6.78233,6.78233,6.78203,6.71218,3.04974,0.0756636,0.0756636,0.0756636,0.0756636,0.0756636,0.0756636,0.872768,0.888233,0.674576,1,0.96798,0.253108,0.0340229,0.0748811,0.0756603
1606610976,91.041,88.1726,80.5319,79.5347,61.7499,22.8631,6.85565,6.85565,6.85565,6.85565,6.85565,6.85565,6.85243,6.78139,3.07393,0.0753029,0.0753029,0.0753029,0.0753029,0.0753029,0.0753029,0.873614,0.884567,0.678265,1,0.968494,0.25113,0.0337643,0.0744872,0.0752675
1606610977,92.4227,89.5583,81.2862,80.9643,63.0066,23.0257,6.9282,6.9282,6.9282,6.9282,6.9282,6.9282,6.92356,6.84118,3.09632,0.0749621,0.0749621,0.0749621,0.0749621,0.0749621,0.0749621,0.876022,0.879504,0.681723,1,0.969007,0.249134,0.0335018,0.0740205,0.0749119
1606610978,93.7839,90.9251,82.5365,81.8626,64.2417,23.1769,7,7,7,7,7,7,6.99712,6.89619,3.11538,0.0746396,0.0746396,0.0746396,0.0746396,0.0746396,0.0746396,0.880071,0.872885,0.684997,1,0.969517,0.247131,0.0332187,0.0735327,0.074609
