T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1605770306,11.7088,11.7088,11.666,11.666,1,1,1,1,1,1,1,0.000846469,4.70426e-17,6.44075e-25,1.7966e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.61333e+23,1.99699e+23,2.59208e+23,2.35196e+19,8.48268e+18,8.69299e+18,9.46527e+23,1.98659e+21,1.28582e+21
1605770307,11.7084,11.7084,11.6656,11.6656,1,1,1,1,1,1,1,0.000820077,3.05053e-17,2.06409e-24,1.46914e-25,0.25,0.25,0.25,0.25,0.25,0.25,9.86443e+22,4.32236e+22,1.20458e+23,7.77136e+18,6.38553e+18,5.84918e+18,3.1428e+23,6.90756e+20,4.47108e+20
1605770308,11.7083,11.7083,11.6655,11.6655,1,1,1,1,1,1,1,0.000758087,5.00074e-17,3.01291e-24,9.20472e-26,0.25,0.25,0.25,0.25,0.25,0.25,2.69738e+23,1.78647e+22,7.12903e+22,1.08483e+19,4.58516e+18,1.61987e+19,3.11707e+24,3.60968e+20,2.33474e+20
1605770309,11.7084,11.7084,11.6656,11.6656,1,1,1,1,1,1,1,0.000618679,2.07524e-17,3.75604e-23,2.70198e-25,0.25,0.25,0.25,0.25,0.25,0.25,8.80396e+22,4.04986e+22,6.31099e+22,5.80129e+18,3.56792e+18,4.97106e+18,1.34752e+24,3.00446e+19,1.94737e+19
1605770309,11.7087,11.7087,11.6659,11.6659,1,1,1,1,1,1,1,0.000469873,3.3772e-17,6.70876e-24,7.82022e-25,0.25,0.25,0.25,0.25,0.25,0.25,2.00854e+22,2.10134e+22,3.92348e+22,3.13803e+18,1.37592e+18,9.53177e+17,5.26874e+23,1.32636e+20,8.58655e+19
1605770310,11.7092,11.7092,11.6664,11.6664,1,1,1,1,1,1,1,0.000356045,2.8934e-17,1.09145e-23,8.34555e-27,0.25,0.25,0.25,0.25,0.25,0.25,5.78972e+23,3.21161e+24,2.1357e+24,2.57771e+20,6.57243e+18,1.02552e+19,4.54998e+25,1.48788e+20,9.71057e+19
1605770311,11.7097,11.7097,11.6669,11.6669,1,1,1,1,1,1,1,0.000440647,9.10334e-18,7.12234e-24,3.43984e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.52789e+22,2.99932e+22,3.91012e+22,1.12232e+18,1.01402e+18,8.09431e+17,6.01383e+22,4.71073e+20,3.04876e+20
1605770312,11.7101,11.7101,11.6673,11.6673,1,1,1,1,1,1,1,0.000588574,7.25831e-17,5.60028e-24,1.93081e-25,0.25,0.25,0.25,0.25,0.25,0.25,4.74296e+22,4.38266e+22,1.29765e+22,1.60344e+18,8.31415e+17,3.06889e+18,5.1338e+23,3.9997e+20,2.5887e+20
1605770312,11.7104,11.7104,11.6676,11.6676,1,1,1,1,1,1,1,0.000734732,8.09177e-17,4.14897e-24,1.77566e-25,0.25,0.25,0.25,0.25,0.25,0.25,2.53826e+22,1.19988e+22,8.20776e+22,2.22378e+18,5.09535e+18,1.88753e+18,8.10727e+23,2.89128e+20,1.87032e+20
1605770313,11.7104,11.7104,11.6676,11.6676,1,1,1,1,1,1,1,0.00080958,4.66377e-17,3.34664e-24,1.26857e-24,0.25,0.25,0.25,0.25,0.25,0.25,1.14124e+22,4.49358e+21,4.28155e+22,8.32203e+17,2.75312e+18,6.96082e+17,1.66847e+23,2.25291e+20,1.45775e+20
1605770314,11.7102,11.7102,11.6674,11.6674,1,1,1,1,1,1,1,0.000848299,3.96228e-17,5.39749e-24,5.7574e-26,0.25,0.25,0.25,0.25,0.25,0.25,2.37348e+23,1.756e+23,1.69823e+23,3.13752e+18,8.43512e+18,1.53029e+19,3.96405e+24,1.79291e+20,1.16538e+20
1605770315,11.7099,11.7099,11.6671,11.6671,1,1,1,1,1,1,1,0.000849902,3.10957e-17,1.31882e-24,4.84776e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.26265e+23,2.10757e+23,3.08523e+23,8.94242e+18,8.78517e+18,7.39506e+18,4.40062e+24,8.94309e+20,5.78305e+20
1605770315,11.7094,11.7094,11.6666,11.6666,1,1,1,1,1,1,1,0.000850622,2.19717e-17,1.10418e-24,2.84958e-26,0.25,0.25,0.25,0.25,0.25,0.25,6.2352e+21,6.11813e+23,4.55524e+23,5.29131e+18,1.56699e+17,2.05585e+17,8.87188e+24,5.7245e+20,3.69133e+20
1605770316,11.7089,11.7089,11.6661,11.6661,1,1,1,1,1,1,1,0.000849135,3.32607e-17,3.6963e-24,1.85149e-25,0.25,0.25,0.25,0.25,0.25,0.25,4.49506e+22,8.60016e+22,8.16114e+22,2.78589e+17,2.33869e+18,2.92848e+18,1.47191e+24,1.27536e+20,8.24266e+19
1605770317,11.7085,11.7085,11.6657,11.6657,1,1,1,1,1,1,1,0.000822073,5.30709e-19,2.79744e-23,4.77217e-25,0.25,0.25,0.25,0.25,0.25,0.25,2.26232e+22,1.20608e+22,4.90238e+21,9.68388e+17,1.92857e+17,1.33009e+18,2.76751e+23,9.63017e+19,6.2338e+19
1605770318,11.7083,11.7083,11.6655,11.6655,1,1,1,1,1,1,1,0.000752945,7.64387e-18,2.06531e-23,1.48142e-25,0.25,0.25,0.25,0.25,0.25,0.25,1.44593e+23,8.2744e+21,1.17619e+23,6.0695e+18,6.54246e+18,8.99082e+18,2.17324e+24,6.24169e+19,4.02455e+19
1605770318,11.7083,11.7083,11.6656,11.6656,1,1,1,1,1,1,1,0.000629177,2.45611e-17,4.86924e-24,1.01781e-24,0.25,0.25,0.25,0.25,0.25,0.25,3.50386e+22,1.68624e+22,5.06254e+21,1.72214e+18,1.75847e+17,2.10715e+18,4.03396e+23,8.60166e+19,5.57187e+19
